X,Y,objectid,id_zar,nazev_zar,adresa_zar,druh_uap,zdroj,id_poskyt,typ_uap,globalid
1604587.5847,6447292.1816,488,22,Poliklinika Modřany,Soukalova 3355/3,3,POV_2024,43,03_03,{8E4445C0-E141-43D7-AC18-CAB18882203D}
1599109.5295,6463007.733,489,23,Poliklinika Cordeus,Na dlouhém lánu 563/11,3,POV_2024,43,03_03,{6A7B0716-C152-4993-B427-5D493BFE172D}
1607611.1549,6457192.0065,490,24,Nuselská poliklinika,Táborská 325/57,3,POV_2024,43,03_03,{E2B02A81-3924-4E5C-BD68-301692BEA339}
1606690.9091,6464263.2264,491,25,Lékařský dům Praha 7,Janovského 993/48,3,POV_2024,43,03_03,{7FCCD03B-D1D0-4307-90A0-AAA74B859470}
1606300.4804,6459967.1139,492,26,Lékařský dům v Mezibranské,Mezibranská 1367/21,3,POV_2024,43,03_03,{6173B591-2019-4E82-A40C-86ABD431D1A0}
1607745.6198,6464945.6534,493,69,Poliklinika Holešovice,Plynární 1617/10,3,POV_2024,43,03_04,{BB8623FD-BE9C-4AE0-ADB8-D5AA4560E8FC}
1596731.0715,6454990.7453,494,70,Poliklinika Hůrka,Sluneční náměstí 2588/14,3,POV_2024,43,03_03,{2CDC54EC-EF0D-4CD1-B810-26415DE5BB4A}
1611160.9173,6464369.2629,495,71,Lékařský dům Palmovka,Zenklova  340/22,3,POV_2024,43,03_03,{514E84AB-BC9F-4F85-BA9D-C3602994B810}
1601034.5564,6440155.4376,496,72,Nová poliklinika Zbraslav,Elišky Přemyslovny 1325,3,POV_2024,43,03_03,{35683AD6-1FB7-481A-9449-932F149D330F}
1601788.2177,6464620.813,497,73,Poliklinika Bechyňova,Bechyňova 2571/3,3,POV_2024,43,03_03,{24E9636F-1FAC-4490-874A-175B91F7DAE8}
1625041.5348,6451710.1438,498,74,Lékařský dům Uhříněves,Nové náměstí 1431/20,3,POV_2024,43,03_04,{7EA252EC-9D80-4ACF-AE61-CBAA7B10BA9A}
1632620.9311,6461622.7343,499,75,Zdravotní středisko ,Slavětínská 771,3,POV_2024,43,03_04,{0DA38201-4C20-4601-BBDF-3AB15B34216E}
1605575.1543,6460337.9926,500,76,Poliklinika Palackého,Palackého 720/5,3,POV_2024,43,03_03,{E9E06D54-01AC-4EF2-A34E-019E4DD9336F}
