"Applied filters:
casden is before 01 January 2023";
;
Cesta;Počet cest
C Florenc → C Nádraží Holešovice;390 856
A Bořislavka → A Dejvická;390 289
C Vltavská → C I. P. Pavlova;387 658
A Můstek → A Želivského;386 785
C Muzeum → C Pankrác;386 553
C Florenc → C Ládví;385 015
A Můstek → A Náměstí Míru;384 170
C Kačerov → C Florenc;382 976
B Černý Most → B Karlovo náměstí;382 000
C Florenc → C Kačerov;379 489
A Želivského → A Můstek;378 092
A Náměstí Míru → A Můstek;377 699
A Můstek → A Bořislavka;372 571
C Florenc → C Pankrác;369 458
B Náměstí Republiky → B Karlovo náměstí;369 258
C I. P. Pavlova → C Vltavská;368 113
C Háje → C Budějovická;367 859
A Dejvická → A Staroměstská;363 848
C Nádraží Holešovice → C I. P. Pavlova;363 562
C Vltavská → C Florenc;363 548
C Budějovická → C Háje;363 537
A Náměstí Míru → A Dejvická;362 953
B Nové Butovice → B Náměstí Republiky;362 434
A Flora → A Můstek;360 439
C Hlavní nádraží → C Muzeum;358 262
C Opatov → C Kačerov;357 452
C Kačerov → C Opatov;350 332
A Dejvická → A Nemocnice Motol;349 206
C Pankrác → C Florenc;345 404
A Muzeum → A Dejvická;344 815
C I. P. Pavlova → C Nádraží Holešovice;342 589
B Smíchovské nádraží → B Palmovka;342 343
B Palmovka → B Náměstí Republiky;341 089
C I. P. Pavlova → C Muzeum;340 600
C Letňany → C Kobylisy;340 218
C Letňany → C Florenc;333 565
C Letňany → C Nádraží Holešovice;333 346
C Ládví → C Nádraží Holešovice;333 123
B Národní třída → B Anděl;330 861
B Vysočanská → B Anděl;330 849
B Smíchovské nádraží → B Florenc;330 773
C Florenc → C Letňany;330 383
A Dejvická → A Náměstí Míru;330 054
C Muzeum → C I. P. Pavlova;327 862
C Kobylisy → C Letňany;327 376
A Jiřího z Poděbrad → A Můstek;323 078
A Staroměstská → A Dejvická;322 204
B Černý Most → B Hloubětín;320 326
C Budějovická → C Pražského povstání;318 642
B Hloubětín → B Černý Most;316 620
B Palmovka → B Můstek;314 030
C Pankrác → C Chodov;312 451
C Hlavní nádraží → C Pražského povstání;311 618
C Muzeum → C Hlavní nádraží;310 776
B Černý Most → B Národní třída;310 460
A Můstek → A Flora;310 150
C Pražského povstání → C Hlavní nádraží;310 101
C Nádraží Holešovice → C Ládví;309 009
C Nádraží Holešovice → C Letňany;307 561
B Anděl → B Národní třída;306 700
C Letňany → C Vltavská;306 389
B Náměstí Republiky → B Nové Butovice;306 035
B Palmovka → B Smíchovské nádraží;305 157
B Náměstí Republiky → B Palmovka;302 345
C Pražského povstání → C Budějovická;301 543
C Florenc → C Chodov;301 540
C Pražského povstání → C Pankrác;301 368
B Smíchovské nádraží → B Luka;300 388
C Hlavní nádraží → C Vyšehrad;298 041
C Budějovická → C Vyšehrad;297 579
B Vysočanská → B Rajská zahrada;296 899
B Anděl → B Vysočanská;296 260
C Letňany → C I. P. Pavlova;295 684
C Letňany → C Muzeum;294 966
B Národní třída → B Černý Most;294 744
B Smíchovské nádraží → B Stodůlky;294 646
C Florenc → C Muzeum;293 653
C Vltavská → C Letňany;293 266
C Florenc → C Vltavská;292 098
C I. P. Pavlova → C Letňany;290 961
B Zličín → B Náměstí Republiky;290 872
C Ládví → C Vltavská;290 472
C Hlavní nádraží → A Dejvická;289 159
C Chodov → C Pankrác;288 712
C Budějovická → C Opatov;288 159
B Vysočanská → B Náměstí Republiky;287 634
B Karlovo náměstí → B Palmovka;287 500
B Náměstí Republiky → B Národní třída;285 599
C Háje → C Muzeum;285 152
C Muzeum → C Letňany;284 473
