"Applied filters:
proele_vazkra_nazpln is Hlavní město Praha
progra_nazpln is Základní územní jednotky";
;
Trasa;Počet cest
Praha-Troja →  C Nádraží Holešovice;217 002
Praha 7 →  A/B Můstek;216 522
Praha 7 →  A/C Muzeum;215 852
Praha 8 →  C Střížkov;214 694
Praha-Petrovice →  C Háje;213 787
Praha 9 →  A/B Můstek;211 750
Praha 16 →  B Smíchovské nádraží;209 497
Praha 5 →  B Národní třída;209 038
Praha 18 →  B Vysočanská;207 586
Praha 13 →  B Zličín;206 547
Praha 13 →  B Anděl;203 941
Praha 6 →  B/C Florenc;201 522
Praha-Kunratice →  C Budějovická;196 952
Praha 8 →  C Hlavní nádraží;196 582
Praha 6 →  C Nádraží Holešovice;194 940
Praha 11 →  A/C Muzeum;190 592
Praha 5 →  A/C Muzeum;188 582
Praha 3 →  B Palmovka;187 587
Praha 2 →  C Hlavní nádraží;187 010
Praha 6 →  A Staroměstská;183 518
Praha 13 →  A/B Můstek;180 482
Praha-Dolní Měcholupy →  A Skalka;176 938
Praha-Řeporyje →  B Stodůlky;176 462
Praha 2 →  B Anděl;176 001
Praha 4 →  C Hlavní nádraží;175 393
Praha-Kunratice →  C Kačerov;160 419
Praha 5 →  B Náměstí Republiky;160 264
Praha 11 →  C Kačerov;159 515
Praha 10 →  B Vysočanská;155 881
Praha-Újezd →  C Opatov;153 461
Praha-Šeberov →  C Opatov;151 895
Praha-Vinoř →  C Letňany;151 867
Praha 14 →  B Kolbenova;151 678
Praha 2 →  B Národní třída;149 854
Praha-Troja →  C Kobylisy;149 661
Praha 11 →  C Budějovická;147 857
Praha-Křeslice →  C Háje;145 979
Praha 12 →  B Karlovo náměstí;145 420
Praha 9 →  A/C Muzeum;141 542
Praha 13 →  B Smíchovské nádraží;140 552
Praha-Nebušice →  A Bořislavka;139 008
Praha 10 →  A Jiřího z Poděbrad;136 091
Praha 6 →  B Anděl;133 938
Praha 14 →  B/C Florenc;133 096
Praha 1 →  C Nádraží Holešovice;133 058
Praha 20 →  B Rajská zahrada;132 668
Praha 3 →  A Náměstí Míru;131 172
Praha 17 →  B Anděl;130 054
Praha 18 →  C Střížkov;129 832
Praha 15 →  A Strašnická;129 409
Praha 2 →  C Pražského povstání;128 637
Praha-Velká Chuchle →  B Smíchovské nádraží;127 656
Praha 4 →  B Anděl;127 187
Praha 9 →  B Hloubětín;127 014
Praha-Řeporyje →  B Lužiny;126 197
Praha 14 →  B Palmovka;125 344
Praha 14 →  B Vysočanská;124 294
Praha 14 →  A/B Můstek;122 786
Praha 4 →  A Staroměstská;119 865
Praha 8 →  C I. P. Pavlova;119 487
Praha 3 →  B Vysočanská;118 464
Praha 1 →  C Vyšehrad;118 066
Praha 12 →  C Budějovická;116 287
Praha-Lysolaje →  A Dejvická;115 614
Praha 5 →  A Malostranská;113 881
Praha 6 →  C I. P. Pavlova;113 808
Praha 21 →  B Černý Most;112 501
Praha 11 →  B/C Florenc;111 698
Praha 17 →  A Nemocnice Motol;111 625
Praha 6 →  B Zličín;110 365
Praha 2 →  B Náměstí Republiky;110 208
Praha 10 →  A Depo Hostivař;109 393
Praha-Lipence →  B Smíchovské nádraží;108 893
Praha-Štěrboholy →  A Skalka;108 668
Praha 6 →  B Náměstí Republiky;108 611
Praha 1 →  A Hradčanská;108 545
Praha 5 →  C Budějovická;108 246
Praha 1 →  A Náměstí Míru;106 202
Praha 18 →  C Prosek;105 730
Praha 7 →  C Hlavní nádraží;103 769
Praha-Dolní Počernice →  B Černý Most;103 181
Praha 9 →  C Kobylisy;103 135
Praha 9 →  B Invalidovna;101 128
Praha 8 →  B Anděl;100 284
Praha 1 →  A Dejvická;100 226
Praha 11 →  C I. P. Pavlova;98 000
Praha 11 →  C Pankrác;97 896
Praha 10 →  C Pankrác;97 608
Praha 5 →  B Hůrka;97 008
Praha 6 →  A Nemocnice Motol;95 988
Praha 8 →  B Českomoravská;95 737
